Date,Labour Productivity (per persons)
2006-01-01,0.55084274683872
2006-04-01,0.8800064508708072
2006-07-01,0.9989863907994057
2006-10-01,2.479894699226004
2007-01-01,2.8018703486317964
2007-04-01,2.727986134133209
2007-07-01,2.247531648383472
2007-10-01,2.188847511165237
2008-01-01,0.9175253566343856
2008-04-01,-0.1691321436495751
2008-07-01,0.7768529279037484
2008-10-01,-1.6934917465614707
2009-01-01,-2.672536864144326
2009-04-01,-0.8604291529422103
2009-07-01,0.4995613384079611
2009-10-01,1.4649413243000842
2010-01-01,3.570253931730427
2010-04-01,3.772511268477508
2010-07-01,2.7625427793239954
2010-10-01,2.727413841209314
2011-01-01,1.295381764579595
2011-04-01,-0.1464347035175395
2011-07-01,-0.6706893229671551
2011-10-01,0.2743370849920046
2012-01-01,0.5743094326265963
2012-04-01,-0.2292730018007671
2012-07-01,-0.0180450049649949
2012-10-01,-0.3186978140201635
2013-01-01,1.5546953736888858
2013-04-01,3.103660108521411
2013-07-01,1.6825092857950752
2013-10-01,1.536218903607156
2014-01-01,-0.6235494158111754
2014-04-01,-1.1529392833129704
2014-07-01,-1.2935025456122684
2014-10-01,-0.1027030019785324
2015-01-01,0.3045713622819912
2015-04-01,-0.3686605181830837
2015-07-01,1.0820483353686683
2015-10-01,-0.782976805131752
2016-01-01,-0.0782133077281477
2016-04-01,0.3542313563498878
2016-07-01,-0.0156500039766527
2016-10-01,0.7077445509052094
2017-01-01,0.3724212254234027
2017-04-01,-0.1609633671367683
2017-07-01,0.0763031401043612
2017-10-01,-0.2716284008083103
2018-01-01,-0.6400229787895673
2018-04-01,0.8341747937086863
2018-07-01,1.0150804908277689
2018-10-01,0.8947166532646156
2019-01-01,1.7131120945179434
2019-04-01,1.829235878810298
2019-07-01,1.6564096962329522
2019-10-01,2.4111600179403725
2020-01-01,-1.9651610505723285
2020-04-01,-14.673157654195537
2020-07-01,-3.4529625307130773
2020-10-01,-5.452797172965451
2021-01-01,-2.6928351258031946
2021-04-01,13.082540678832522
2021-07-01,2.4012528270857647
2021-10-01,4.761671870083073
2022-01-01,5.556046604923504
2022-04-01,4.113140350626132
2022-07-01,1.7905132922471312
2022-10-01,1.3619302332985583
2023-01-01,2.60970925923274
2023-04-01,1.7089743682685787
2023-07-01,1.2018254412480722
2023-10-01,0.6939184351057781
2024-01-01,-0.2452583458364854
2024-04-01,0.1413361670824731
2024-07-01,0.1518657110413546
2024-10-01,1.245766275210558
